Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0100124331771949,-0.00124405907684683,0.0390358847915751,0,0,0,0.675197319278484,0.00175682215894079,-5.71210683622112E-05,-8.99531778546739E-07,0.0013518716665814,1.5053177043714E-07,0.00275313654753164,0,0,0,0,0,0,package://alicia_duo_descriptions/meshes/base_link.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://alicia_duo_descriptions/meshes/base_link.STL,,joint1底板与底座连接件^操作臂总装配-1;joint1底板_1^操作臂总装配-1;joint1  底座^操作臂总装配-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-6.25858197295685E-05,7.92213122987762E-05,-0.0125707541315971,0,0,0,0.203075737500143,0.000235905198022555,7.61837858539045E-07,-2.9280595447193E-07,0.000131461412426022,-9.88206643610389E-07,0.000304852104532108,0,0,0,0,0,0,package://alicia_duo_descriptions/meshes/Link1.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://alicia_duo_descriptions/meshes/Link1.STL,,joint2  底板^操作臂总装配-1;飞特舵机^操作臂总装配-4;joint2飞特舵机连轴承件^操作臂总装配-1;joint2飞特舵机连轴承件^操作臂总装配-2;飞特舵机^操作臂总装配-3;法兰固定座^操作臂总装配-1,link1,joint1,Joint1,revolute,0,0,0.1445,0,0,0,base_link,0,0,-1,5,10,-3.14,3.14,,,,,,,,
Link2,0.152520863780152,0.00121050175643325,-2.60950688970463E-05,0,0,0,0.228750683078605,0.000128107393781261,-1.13054976540084E-06,-3.12979772835143E-06,0.000222403637398375,1.86391232896856E-08,0.000138515787941709,0,0,0,0,0,0,package://alicia_duo_descriptions/meshes/Link2.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://alicia_duo_descriptions/meshes/Link2.STL,,joint2-joint3连接杆-2.stp-1;joint2-joint3连接短杆.stp-1;铝型材20×20×120^操作臂总装配-1;joint4转接铝型材^操作臂总装配-1;飞特舵机^操作臂总装配-7;飞特舵机连轴承件^操作臂总装配-1;飞特舵机^操作臂总装配-6;飞特舵机连轴承件^操作臂总装配-2,link2,joint2,Joint2,revolute,0,0,0.025106,1.5708,-1.5708,0,Link1,0,0,-1,5,10,-3.14,3.14,,,,,,,,
Link3,0.05912098865161,-0.00292884026418549,-0.000206870084897278,0,0,0,0.0902084989642731,2.95841837376625E-05,2.18437703523349E-06,5.1039314115162E-06,7.14586965989716E-05,-3.76178023735153E-07,7.59377961316667E-05,0,0,0,0,0,0,package://alicia_duo_descriptions/meshes/Link3.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://alicia_duo_descriptions/meshes/Link3.STL,,joint4-joint5连接杆.stp-1;joint4转铝型材短杆A.stp-1;飞特舵机^操作臂总装配-8;飞特舵机主舵盘^操作臂总装配-5,link3,joint3,Joint3,revolute,0.22367,0.022494,-5E-05,0,0,2.3562,Link2,0,0,-1,5,10,-3.14,3.14,,,,,,,,
Link4,-0.000205267063245973,0.000325243129580035,0.0643235983472444,0,0,0,0.0791974889780253,2.47725339125505E-05,3.55587182995024E-10,7.3334971760673E-08,2.46627995216068E-05,-3.46992272423732E-07,1.52344176742998E-05,0,0,0,0,0,0,package://alicia_duo_descriptions/meshes/Link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://alicia_duo_descriptions/meshes/Link4.STL,,零件一体化测试(4)_1^操作臂总装配-1/joint3_X2_8f6c63a594dd578b6750_X0__1^零件一体化测试(4)_1_操作臂总装配-1;零件一体化测试(4)_1^操作臂总装配-1/joint6_X2_8f6c_X0_joint7_X2_625353704ef6_X0_-2_1^零件一体化测试(4)_1_操作臂总装配-1;飞特舵机^操作臂总装配-9;飞特舵机主舵盘^操作臂总装配-6;飞特舵机副舵盘^操作臂总装配-1,link4,joint4,Joint4,revolute,0.0988,0.00211,-0.0001,1.5708,0,1.5708,Link3,0,0,1,5,10,-3.14,3.14,,,,,,,,
Link5,-0.0151916000802023,-0.035577609744867,0.00100363196557324,0,0,0,0.0472226666291309,1.20278315375537E-05,-1.17970471503373E-06,-1.02456210599242E-07,1.88455470481329E-05,-1.61484723405352E-07,1.40563866814419E-05,0,0,0,0,0,0,package://alicia_duo_descriptions/meshes/Link5.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://alicia_duo_descriptions/meshes/Link5.STL,,连接件双轴竖直^操作臂总装配-1;飞特舵机^操作臂总装配-10;夹爪舵机连轴承件.stp-1,link5,joint5,Joint5,revolute,0,-0.0007,0.12011,-1.5708,0,0,Link4,0,0,1,5,10,-3.14,3.14,,,,,,,,
Link6,-2.29000106100052E-08,-6.06077605290467E-09,-0.00146273730918529,0,0,0,0.000754043064008528,1.92362324543726E-08,2.02419408834135E-13,1.54264012087565E-14,1.92356438139941E-08,3.66078536787572E-15,3.70116466604047E-08,0,0,0,0,0,0,package://alicia_duo_descriptions/meshes/Link6.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://alicia_duo_descriptions/meshes/Link6.STL,,飞特舵机主舵盘^操作臂总装配-7,link6,joint6,Joint6,revolute,-0.0038938,-0.0573,0.0008,1.5708,0,0,Link5,0,0,1,5,10,-3.14,3.14,,,,,,,,
Grasp_base,-0.01841113801577,0.000862734870750302,0.0339710264842798,0,0,0,0.13604884360545,7.27853781685838E-05,3.41504362452082E-08,1.60963274946906E-06,2.99495582533924E-05,9.99190740884026E-07,7.95564628246971E-05,0,0,0,0,0,0,package://alicia_duo_descriptions/meshes/Grasp_base.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://alicia_duo_descriptions/meshes/Grasp_base.STL,,夹爪固定相机连接件.stp-1;D405相机_step_2.stp-1;intel D405相机连接件^操作臂总装配-1;夹爪舵盘连接件B^操作臂总装配-1;飞特舵机^操作臂总装配-11;夹爪轨（50mm）_stp^操作臂总装配-1;BRH12滑轨^操作臂总装配-2;BRH12滑轨^操作臂总装配-1;连接件2.1^操作臂总装配-1;转轴连接^操作臂总装配-1;连接件2.1^操作臂总装配-2,grasp_base,joint6,Joint6_to_gripper_base,fixed,0,0,0,0,0,0,Link6,0,0,0,,,,,,,,,,,,
Link7,0.00110740859468716,-0.0505406087264605,0.00928374528946711,0,0,0,0.0243492837152759,9.48475810350875E-06,1.12616534990615E-06,-1.29347870071083E-07,4.30364201605636E-06,1.0784812114242E-06,1.21997143402446E-05,0,0,0,0,0,0,package://alicia_duo_descriptions/meshes/Link7.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://alicia_duo_descriptions/meshes/Link7.STL,,夹爪A^操作臂总装配-1;BRH12滑块^操作臂总装配-4;BRH12滑块^操作臂总装配-3,link7,left_finger,left_finger,fixed,0.00275,-0.0011661,0.13779,1.5451,0,0,Grasp_base,0,0,0,5,10,-0.0125,0,,,,,,,,
Link8,0.00109597192005223,0.0498868509472224,0.0118634588904307,0,0,0,0.0243228050977196,9.45357028936119E-06,-1.11057133705082E-06,-1.85645517199125E-07,4.42974962436958E-06,-1.4734381267566E-06,1.20341513240267E-05,0,0,0,0,0,0,package://alicia_duo_descriptions/meshes/Link8.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://alicia_duo_descriptions/meshes/Link8.STL,,BRH12滑块^操作臂总装配-2;夹爪B^操作臂总装配-1;BRH12滑块^操作臂总装配-1,link8,right_finger,right_finger,fixed,0.00275,0.0028325,0.13768,-1.5965,0,0,Grasp_base,0,0,0,5,10,0,0.0125,,,,,,,,
tool0,0.157702794858644,-0.000950890529567061,-0.216583356916661,0,0,0,1.65172752046943,0.0171708839746825,8.98901766527121E-05,-0.00487090614746729,0.0394595485494467,-1.48811450988365E-05,0.0267045432957846,0,0,0,0,0,0,package://alicia_duo_descriptions/meshes/tool0.STL,1,1,1,1,0,0,0,0,0,0,package://alicia_duo_descriptions/meshes/tool0.STL,,,tool0,joint6,Grasp2tool,fixed,0.00275,0.0008332,0.13779,0,0,0,Grasp_base,0,0,0,,,,,,,,,,,,
